cnpj,base_date,financial_statement_type,currency,scale,order,start_of_period,end_of_period,id_account,account_description,value,account_status,type,period_type,ticker
22.543.331/0001-00,2019-03-31,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,6.01,Caixa Líquido Atividades Operacionais,73888.0,S,Direct Cash Flow,YTD,CXSE3
22.543.331/0001-00,2019-03-31,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,6.01.01,Recebimento de receitas de acesso à rede e uso da marca,157793.0,N,Direct Cash Flow,YTD,CXSE3
22.543.331/0001-00,2019-03-31,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,6.01.02,Recebimento de dividendos,0.0,N,Direct Cash Flow,YTD,CXSE3
22.543.331/0001-00,2019-03-31,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,6.01.03,Pagamento de despesas administrativas,-9838.0,N,Direct Cash Flow,YTD,CXSE3
22.543.331/0001-00,2019-03-31,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,6.01.04,Tributos sobre folha recolhidos,-583.0,N,Direct Cash Flow,YTD,CXSE3
22.543.331/0001-00,2019-03-31,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,6.01.05,Tributos sobre receitas pagos,-19946.0,N,Direct Cash Flow,YTD,CXSE3
22.543.331/0001-00,2019-03-31,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,6.01.06,Imposto de renda e contribuição social pagos,-57793.0,N,Direct Cash Flow,YTD,CXSE3
22.543.331/0001-00,2019-03-31,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,6.01.07,Juros recebidos,4501.0,N,Direct Cash Flow,YTD,CXSE3
22.543.331/0001-00,2019-03-31,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,6.01.08,Tributos sobre aplicações,-246.0,N,Direct Cash Flow,YTD,CXSE3
22.543.331/0001-00,2019-03-31,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,6.02,Caixa Líquido Atividades de Investimento,0.0,S,Direct Cash Flow,YTD,CXSE3
22.543.331/0001-00,2019-03-31,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,6.02.01,Resgate de Aplicações Financeiras,0.0,N,Direct Cash Flow,YTD,CXSE3
22.543.331/0001-00,2019-03-31,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,6.03,Caixa Líquido Atividades de Financiamento,0.0,S,Direct Cash Flow,YTD,CXSE3
22.543.331/0001-00,2019-03-31,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,6.04,Variação Cambial s/ Caixa e Equivalentes,0.0,S,Direct Cash Flow,YTD,CXSE3
22.543.331/0001-00,2019-03-31,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,6.05,Aumento (Redução) de Caixa e Equivalentes,73888.0,S,Direct Cash Flow,YTD,CXSE3
22.543.331/0001-00,2019-03-31,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,6.05.01,Saldo Inicial de Caixa e Equivalentes,249773.0,S,Direct Cash Flow,YTD,CXSE3
22.543.331/0001-00,2019-03-31,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,6.05.02,Saldo Final de Caixa e Equivalentes,323661.0,S,Direct Cash Flow,YTD,CXSE3
22.543.331/0001-00,2019-06-30,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-06-30,6.01,Caixa Líquido Atividades Operacionais,957694.0,S,Direct Cash Flow,YTD,CXSE3
