cnpj,base_date,financial_statement_type,currency,scale,order,start_of_period,end_of_period,id_account,account_description,value,account_status,type,start_month,end_month,period_type,ticker
00.001.180/0001-26,2019-03-31,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,3.01,Receita de Venda de Bens e/ou Serviços,6451762.0,S,Income Statement,01,03,Quarter,ELET6
00.001.180/0001-26,2019-03-31,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,3.02,Custo dos Bens e/ou Serviços Vendidos,-1289252.0,S,Income Statement,01,03,Quarter,ELET6
00.001.180/0001-26,2019-03-31,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,3.02.01,Energia comprada para revenda,-434532.0,N,Income Statement,01,03,Quarter,ELET6
00.001.180/0001-26,2019-03-31,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,3.02.02,Encargos sobre o uso da rede elétrica,-209673.0,N,Income Statement,01,03,Quarter,ELET6
00.001.180/0001-26,2019-03-31,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,3.02.03,Combustível para produção de energia elétrica,-530003.0,N,Income Statement,01,03,Quarter,ELET6
00.001.180/0001-26,2019-03-31,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,3.02.04,Construção,-115044.0,N,Income Statement,01,03,Quarter,ELET6
00.001.180/0001-26,2019-03-31,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,3.03,Resultado Bruto,5162510.0,S,Income Statement,01,03,Quarter,ELET6
00.001.180/0001-26,2019-03-31,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,3.04,Despesas/Receitas Operacionais,-2653663.0,S,Income Statement,01,03,Quarter,ELET6
00.001.180/0001-26,2019-03-31,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,3.04.01,Despesas com Vendas,0.0,S,Income Statement,01,03,Quarter,ELET6
00.001.180/0001-26,2019-03-31,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,3.04.02,Despesas Gerais e Administrativas,-2996979.0,S,Income Statement,01,03,Quarter,ELET6
00.001.180/0001-26,2019-03-31,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,3.04.02.01,"Pessoal, Material e Serviço",-1820823.0,N,Income Statement,01,03,Quarter,ELET6
00.001.180/0001-26,2019-03-31,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,3.04.02.06,Remuneração de ressarcimento,0.0,N,Income Statement,01,03,Quarter,ELET6
00.001.180/0001-26,2019-03-31,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,3.04.02.07,Depreciação e amortização-Imobilizado e Intangível,-407265.0,N,Income Statement,01,03,Quarter,ELET6
00.001.180/0001-26,2019-03-31,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,3.04.02.08,Amortização,-20692.0,N,Income Statement,01,03,Quarter,ELET6
00.001.180/0001-26,2019-03-31,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,3.04.02.09,Provisões operacionais,-522951.0,N,Income Statement,01,03,Quarter,ELET6
00.001.180/0001-26,2019-03-31,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,3.04.02.10,Plano de readequação do quadro de pessoal,0.0,N,Income Statement,01,03,Quarter,ELET6
00.001.180/0001-26,2019-03-31,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,3.04.02.11,Doações e contribuições,-52292.0,N,Income Statement,01,03,Quarter,ELET6
00.001.180/0001-26,2019-03-31,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,3.04.02.13,Outras,-172956.0,N,Income Statement,01,03,Quarter,ELET6
00.001.180/0001-26,2019-03-31,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0,S,Income Statement,01,03,Quarter,ELET6
00.001.180/0001-26,2019-03-31,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,3.04.04,Outras Receitas Operacionais,183222.0,S,Income Statement,01,03,Quarter,ELET6
00.001.180/0001-26,2019-03-31,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,3.04.04.01,Efeito na Alienação de Participações Societárias,183222.0,N,Income Statement,01,03,Quarter,ELET6
00.001.180/0001-26,2019-03-31,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,3.04.05,Outras Despesas Operacionais,0.0,S,Income Statement,01,03,Quarter,ELET6
00.001.180/0001-26,2019-03-31,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,3.04.06,Resultado de Equivalência Patrimonial,160094.0,S,Income Statement,01,03,Quarter,ELET6
00.001.180/0001-26,2019-03-31,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,2508847.0,S,Income Statement,01,03,Quarter,ELET6
00.001.180/0001-26,2019-03-31,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,3.06,Resultado Financeiro,-322229.0,S,Income Statement,01,03,Quarter,ELET6
00.001.180/0001-26,2019-03-31,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,3.06.01,Receitas Financeiras,1790290.0,S,Income Statement,01,03,Quarter,ELET6
00.001.180/0001-26,2019-03-31,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,3.06.02,Despesas Financeiras,-2112519.0,S,Income Statement,01,03,Quarter,ELET6
00.001.180/0001-26,2019-03-31,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,3.07,Resultado Antes dos Tributos sobre o Lucro,2186618.0,S,Income Statement,01,03,Quarter,ELET6
00.001.180/0001-26,2019-03-31,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-616648.0,S,Income Statement,01,03,Quarter,ELET6
00.001.180/0001-26,2019-03-31,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,3.08.01,Corrente,-1059368.0,S,Income Statement,01,03,Quarter,ELET6
00.001.180/0001-26,2019-03-31,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,3.08.02,Diferido,442720.0,S,Income Statement,01,03,Quarter,ELET6
00.001.180/0001-26,2019-03-31,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,3.09,Resultado Líquido das Operações Continuadas,1569970.0,S,Income Statement,01,03,Quarter,ELET6
00.001.180/0001-26,2019-03-31,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,3.10,Resultado Líquido de Operações Descontinuadas,-222616.0,S,Income Statement,01,03,Quarter,ELET6
00.001.180/0001-26,2019-03-31,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,-222616.0,S,Income Statement,01,03,Quarter,ELET6
00.001.180/0001-26,2019-03-31,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0,S,Income Statement,01,03,Quarter,ELET6
00.001.180/0001-26,2019-03-31,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,3.11,Lucro/Prejuízo Consolidado do Período,1347354.0,S,Income Statement,01,03,Quarter,ELET6
00.001.180/0001-26,2019-03-31,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,3.11.01,Atribuído a Sócios da Empresa Controladora,1397712.0,S,Income Statement,01,03,Quarter,ELET6
00.001.180/0001-26,2019-03-31,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,3.11.02,Atribuído a Sócios Não Controladores,-50358.0,S,Income Statement,01,03,Quarter,ELET6
00.001.180/0001-26,2019-03-31,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,3.99,Lucro por Ação - (Reais / Ação),0.0,N,Income Statement,01,03,Quarter,ELET6
00.001.180/0001-26,2019-03-31,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,3.99.01,Lucro Básico por Ação,0.0,N,Income Statement,01,03,Quarter,ELET6
00.001.180/0001-26,2019-03-31,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,3.99.01.01,ON,1.01343,N,Income Statement,01,03,Quarter,ELET6
